#;Nombre Agencia;Agencia;TIPO;Domicilio;Localidad;Latitud;Longitud;Telefono
51819;676-000;676-000;SOLO MULTICASH;COLECTORA NORTE 237 BARRIO SAN AGUSTIN, 0;MERLO;-32,34797471;-65,01898750;1140908773
50936;Luna de la Suerte;672-000;AGENCIA;Barrio Serranias Puntanas Manzana 4 casa 19;SAN LUIS;-33,258696;-66,339614;2664-619159
50267;La Suerte al Paso;670-000;AGENCIA;Barrio Mirador del Cerro, Calle Proyectada S/N Ruta 146 Km 5;SAN LUIS;-33,258696; -66,339614;2664-506971
49321;Quiniela Maipú;669-000;AGENCIA;Maipu 1752 Manzana 2304 Casa12;VILLA MERCEDES;-33.683162;-65.425095;2657-203108
48359;El Tano;664-000;AGENCIA;Chacabuco 751;SAN LUIS;-33.302555;-66.339149;2664-227874
47413;663-000;663-000;AGENCIA; Rivadavia 658;SAN LUIS;-33,303193;-66,336087;266-4893371
47412;TRIUNFO DORADO;662-000;AGENCIA;Bolivar 958;SAN LUIS;-33,29736;-66,33834;2664-509817
46933;LA BUENA APUESTA;661-000;AGENCIA;Juan Gilberto Funes 1424 (ex J.A. Roca);SAN LUIS;-33,31344;-66,341312;2664-010013
44518;Abundia;658-000;AGENCIA;Pedernera 746;Concarán;-32,558973;-65,248704;2665- 289568
44517;El Pollo;657-000;AGENCIA;Gobernador Adre 1140;Concarán;-32,564031;-65,243932;2664-573366
44516;La Ribera;656-000;AGENCIA;Barrio La Ribera , manzana 7179 casa 5;VILLA MERCEDES;-33.690964;-65.499001;2657-664294- 2657-692534
43900;LA DELFINA;187-001;SUCURSAL;Av. Serrana, Manzana 134, Lote 14, Local, 2;La Punta;-33.180719;-66.314241;2664-921490
43810;654-000;654-000;AGENCIA;Belgica 1202;VILLA MERCEDES;-33.672777;-65.454622;2657-563838
43359;La Favorita;652-000;AGENCIA;Buenos Aires 770, Local, 3;VILLA MERCEDES;-33,689931;-65,450242;351-2319400
42991;El Baul de la Morenita;651-000;AGENCIA;Av. Lafinur 226;SAN LUIS;-33,310675;-66,344549;2664-296716
42350; La Máquina;650-000;AGENCIA;Aristóbulo del Valle, 202;SAN LUIS;-33,286767;-66,321055;2664-771399
41414;El Buda de la Suerte;648-000;AGENCIA;Belgrano, 262;Villa del Carmen;-32,939546;-65,038673;2664311609
41150;649-000;649-000;AGENCIA;Juan G Funes 260 Local 14;SAN LUIS;-33,306305;-66,322517;2664-662043
41146;El Robot;646-000;AGENCIA;Balcarce, 614;LA TOMA;-33,053539;-65,618744;2664-553050 / 2664314242
39071;EL CHUECO;643-000;AGENCIA;San Martín 550;CARPINTERÍA;-32,409637;-65,010573;11-58170723
38281;640-000;640-000;AGENCIA;Av. Mitre 1602;VILLA MERCEDES;-33,664292;-65,458719;2657-323088
38280;El Trebol de la Suerte;639-000;AGENCIA;Juan Manuel de Rosas 1134;Concarán;-32,556306;-65,246469;266-4560282
38279;638-000;638-000;AGENCIA;Bartolomé Mitre 390;BUENA ESPERANZA;-34,758988;-65,253074;2657-200949
37458;El Lider;636-000;AGENCIA;Pringles S/N;Concarán;-32,560685;-65,244946;266-4614286
37457;La Nene;635-000;AGENCIA;San Martín 318;SANTA ROSA DE CONLARA;-32,342299;-65,210188;266-5112906
36454;EMOCIONES ;632-000;AGENCIA;San Martín, 601;VILLA MERCEDES;-33,682431;-65,461837;2657-230029
35254;Oro y Miel;631-000;AGENCIA;Av.Pte.Peron 1303 local, 2;VILLA MERCEDES;-33,671784;-65,449685;2657-505497
34954;La Buena Racha;630-000;AGENCIA;Av. Juan Pascual Pringles 2267;EL VOLCAN;-33,251497;-66,177902;266-4920233 / 2657344080
34953;Araña Negra;629-000;AGENCIA;San Martín S/N;CANDELARIA;-32,063263;-65,825168;266-4028368
34386;624-000;624-000;AGENCIA;Riobamba 2251;SAN LUIS;-33,280459;-66,316742;266-4504542
33032;Tu Milagro;627-000;AGENCIA;9 de Julio 651;LA TOMA;-33,053295;-65,620031;266-4001508
32992;585-001;585-001;SUCURSAL;San Martín, esq. Juan T. Zavala S/N;Nogolí;-32,919416;-66,326516;266-4483291
32991;El 427 de la Suerte;626-000;AGENCIA;Sallorenzo 1080;VILLA MERCEDES;-33,668983;-65,482499;2657-719187
31322;Elefante Dorado;623-000;AGENCIA;B° Eva Perón, Manzana LL, Casa 199;SAN LUIS;-33,268478;-66,311942;266-4717629
30726;La Pochy;618-000;AGENCIA;Don Bosco 1602;SAN LUIS;-33,290103;-66,332247;266-4311479
29203;507-001;507-001;SUCURSAL;Coronel Pringles s/n;LA FLORIDA;-33,118035;-66,002366;0266-5025021
28728;Los Navegantes;613-000;AGENCIA;Ejército de los Andes 1202;SAN LUIS;-33,292342;-66,343602;266-4653868 / 2664347821
26964;610-000;610-000;AGENCIA;B° Manuel Lezcano, Manzana N, Casa 6;SAN LUIS;-33,3112535;-66,3191417;266-4840372
26349;El Lucero;608-000;AGENCIA;Rawson y 9 de Julio;SAN LUIS;-33,309632; -66,352619;2664770553
25626;Madre Catalina;607-000;AGENCIA;Falucho B° ATE 1, Manzana M, Casa 123;SAN LUIS;-33.289933;-66.347448;266-4487036
24951;TikiTaka.com;605-000;AGENCIA;San Martín 43;NASCHEL;-32,916059;-65,376934;266-4320924
22794;El Sueño;609-000;AGENCIA;Av. Hipólito Yrigoyen 194;JUSTO DARACT;-33,857910;-65,182552;2657-607158
22018;Los Pinos;599-000;AGENCIA;25 de Mayo 767;TILISARAO;-32.733118;-65.292312;266-4562181 / 2656420511
22017;598-000;598-000;AGENCIA;Caidos de Malvinas 303;SAN LUIS;-33,295321;-66,319047;266-4505234 / 2664393701
21384;EL TALISMAN;596-000;AGENCIA;25 de Mayo 10;LA TOMA;-33.0557734;-65.6220303;266-4636966 / 2664311243
20623;LA BLANQUITA;591-000;AGENCIA;Don Bosco 2048;SAN LUIS;-33,285164;-66,332859;266-4298138
20312;GEMELAS;585-000;AGENCIA;Sarmiento s/n;Villa de la Quebrada;-33,01647;-66,290421;2664483291
20310;586-000;586-000;AGENCIA;b° 192 viv m8 c131;SAN LUIS;-33,289331;-66,353881;2665006369
19221;La Càbala;581-000;AGENCIA;Av. Mitre 1160;VILLA MERCEDES;-33,682431;-65,461837;2657241802
17851;El Pino;570-000;AGENCIA;Pje Capitán Guadagnini 1887;VILLA MERCEDES;-33,703109;-65,430240;2657223203 - 2657-223202
17731;CREDIA;568-000;SOLO MULTICASH;Presbítero Becerra 563;MERLO;-32,343704;-65,011899;3517650651
17430;El Quijote;565-000;AGENCIA;Presbítero Becerra 411;MERLO;-32.3431628;-65.0161963;354 457 6589
17241;NUEVO RANCHO;252-002;SUCURSAL;LICITACION 22 M10 C4;La Punta;-33,1858477;-66,3219286;2664544124
17228;EL LOCO PIPI;564-000;AGENCIA;CHACABUCO  1067;SAN LUIS;-33,2983346;-66,3428618;2664021742 / 2664303276
17190;La Gringa;561-000;AGENCIA;Av. Centenario Oeste, 50;SAN LUIS;-33,279042858730655;-66,32594868790451;2664957776
16339;El Poeta;557-000;AGENCIA;Poeta Agüero esq. Perón, 693;MERLO;-32,345692;-65,015674;2656442852 
16086;El Negro de la Suerte ;554-000;AGENCIA;Av. Tomas Dixion, 96;FORTIN EL PATRIA;-34,773244;-65,522163;262 540 8067
16012;La Ganadora;550-000;AGENCIA;Granaderos Puntanos 904;SAN LUIS;-33,28146000065582;-66,340864941865;266 492 9893
15342;Afortunados;544-000;AGENCIA;B. La Ribera M.7079 C., 7;VILLA MERCEDES;-33,697151;-65,503461;2657-323404 - 2657-215410
15187;LA AVENIDA;543-000;AGENCIA;Av. Arturo Illia 305 local, 4;SAN LUIS;-33,300558;-66,342994;2664935151
14964;Oaki 2;540-000;AGENCIA;Jose Zavala, 451;SAN LUIS;-33,314364;-66,315610;266-4701093
14711;ESTRELLA DE LA MAÑANA;537-000;AGENCIA;Av. Pringles 1191;VILLA MERCEDES;-33,6944973;-65,4417893;2657305040
13206;SAMU;520-000;AGENCIA;Ramon Valdez 925;VILLA MERCEDES;-33,698631;-65,449197;2657-671965
13055;El Kiosco de José;519-000;AGENCIA;San Martin, 998;SAN LUIS;-33,299179;-66,338443;266-4757385
13033;LA CARMELA ;521-000;AGENCIA;Av. Justo Daract, 1745;SAN LUIS;-33,288623;-66,337254;266-4519929 / 2665066632
12731;518-000;518-000;SOLO MULTICASH;Presbitero Becerra, 850;MERLO;-32,340708;-65,013058;266-4328805
12698;El Oasis;517-000;AGENCIA;Justo Daract, 3128;SAN LUIS;-33,272125;-66,338672;2664 543577
12324;Pipí Cucú;515-000;AGENCIA;Av. Sarmiento, 822;SAN LUIS;-33,298200;-66,322124;2664222186
12230;San Miguel ;514-000;AGENCIA;Av. Justo Daract, 1984;SAN LUIS;-33,286359;-66,337163;266-4335942
11210;LA CASONA ;507-000;AGENCIA;Diagonal Saiz s/n, 0;San Gerónimo;-33,138489;-66,518673;2665-012401 / 2665058017
11126;LA LLAVE DE LA SUERTE ;502-000;AGENCIA;Pablo Lucero, 846;VILLA MERCEDES;-33,673593;-65,482052;2657-504130
9189;El Jorgito ;490-000;AGENCIA;Suipacha, 130;VILLA MERCEDES;-33,691387;-65,462318;2657676586 - 2657-396648
8922;ATENEO;483-000;SOLO MULTICASH;Mariano Moreno y 25 de Mayo, 0;Concarán;-32,554088; -65,247982;2664727554
8890;482-000;482-000;AGENCIA;Pje. Cogreso de Tucuman, 1046;VILLA MERCEDES;-33,668429; -65,437401;02657497766
8706;LA VAQUITA DE LA SUERTE;481-000;AGENCIA;Rivadavia S/N;NASCHEL;-32,915771;-65,377039; 266-4619334
8482;El Profesor;479-000;AGENCIA;AV. JULIO A. ROCA, 873;SAN LUIS;-33,311514;-66,333919;2664-962256
8237;COMODIN II ;414-003;SUCURSAL;Alberdi esq. Sergio Olmos s/n, 0 San ;SAN FRANCISCO DEL MONTE DE ORO;-32,600611;-66,127754;266-4228721
7919;El Viejo Leon;471-000;AGENCIA;Av. Norte, 2301;MERLO;-32,324875;-65,014933;02656-47886 / 1157457565
7899;As de Corazaones;467-000;AGENCIA;Av. Sarmiento, 529;SAN LUIS;-33,301005;-66,321979;266-4791152
7887;El Roco Kiosco;473-000;AGENCIA;25 de Mayo, 767;LA TOMA;-33,051051;-65,627914;266-4332935
7880;EL MILLONARIO ;469-000;AGENCIA;Lamadrid, 585;VILLA MERCEDES;-33,679931;-65,474761;2657-631944 - 2657-639704
6917;El Golpe de Suerte;452-000;AGENCIA;Junin 1513;SAN LUIS;-33,303046;-66,345079;2323-636960
6688;LOCUTORIO AYACUCHO ;435-000;SOLO MULTICASH;San Martín esq. Ayacucho 0;SAN LUIS;-33,305824;-66,336491;266-4482120
6597;Lo del Luis;445-000;AGENCIA;Barrio Jóvenes Profesionales Mz 31 casa 1;Juana Koslay;-33,282137;-66,256148;266-4849135
6511;PRINCIPITO;444-000;AGENCIA;Hipolito Yrigoyen, 828;JUSTO DARACT;-33,861424;-65,175667;2657494183 - 2657-290654
6461;LAS VEGAS;441-000;AGENCIA;Av. Peron, 646;VILLA MERCEDES;-33,683777;-65,453288;2657-604546
6356;LA GRUTA;252-000;AGENCIA;Barrio 144 Mza 283 casa, 11;SAN LUIS;-33,287309;-66,299528;0266-4544124
6334;POS;000-003;SOLO MULTICASH;Granadeo P Olguin, 0 POS;SAN LUIS;"";-1;11111111
6227;EL TOTO;434-000;AGENCIA;Belgrano, 236;QUINES;-32,235081;-65,806865;266-4680125
5995;Aca Si III;432-000;AGENCIA;Av. Eva Duarte S/N (Drugstore Flamingo Merlo);MERLO;-32,347012;-65,003661;011-39135891
5566;Quorum;428-000;AGENCIA;Rivadavia, 545;SAN LUIS;-33,304896;-66,335387;00000000
5545;Doña Lilia;426-000;AGENCIA;Rivadavia, 1347;SAN LUIS;-33,294139;-66,338341;266-4589078 / 2664894553
5390;EL 13;168-001;SUCURSAL;Avda. del Norte 1432;MERLO;-32,337183;-65,014278;2665017960
5087;EL RABANITO ;421-000;AGENCIA;Rivadavia, 689;SAN LUIS;-33,302759;-66,336064;266-154017675 / 2664834278
4755;El Cubilete;075-000;AGENCIA;Los Alamos 1987;VILLA MERCEDES;-33,658289;-65,452990;2657-314177
4502;Su Comodin ;414-000;AGENCIA;Av. Sarmiento y Belgrano S/N, 0;SAN FRANCISCO DEL MONTE DE ORO;-32,600378;-66,127897;2664165881
4331;La Precisa;431-000;AGENCIA;Leon Guillet, 156;VILLA MERCEDES;-33,688865;-65,463682;02657691584
4329;La Cabala II ;412-000;AGENCIA;Chacabuco 10;VILLA MERCEDES;-33,674804;-65,463086;02657 15679422 / 2657-210504
4092;El Rengo;410-000;AGENCIA;General Paz 763;VILLA MERCEDES;-33,679486;-65,462145;02657-15-652843 
4009;La Coca;409-000;AGENCIA;B. La Ribera M.7082 C 24;VILLA MERCEDES;-33,695102;-65,505108;02657-15-266547 
2963;VIVA SAN LUIS;403-000;AGENCIA;Esteban Aguero 1426;VILLA MERCEDES;-33,669986;-65,443492;02657-15544993 
2751;400-000;400-000;AGENCIA;Bo 50 viv. Mza 1 Casa 21;LOS CAJONES;-32,023743;-65,372479;02656-499225 
2440;Estrella;900-008;AGENCIA;Boulevard Tobar Garcia M.129 Lote 7.Local, 3;La Punta;-33,183488;-66,311939;0266 154 828382 
2438; La 22;900-001;AGENCIA;AV. serrana mzna 136 lote 10;La Punta;-33,185256;-66,312152;2664367268
2431;LA BUENA ONDA;393-000;AGENCIA;Salta 66;VILLA MERCEDES;-33,684935;-65,464565;02664504053 
2407;Danilo;383-000;AGENCIA;Ruta Prov Num.35 s/n. Acceso viejo puerta 12;La Calera;-32,881894;-66,836528;2664861945 / 2664851667
2347;La Seño;362-000;AGENCIA;25 de Mayo 1000, entre San Martín y Rivadavia;SAN LUIS;-33,311848;-66,335573;266 4008300 
2345;La Tati;359-000;AGENCIA;San Martin 975;SANTA ROSA DE CONLARA;-32,343007;-65,202815;2656-492070 
2342;Le Gare Nord;355-000;AGENCIA;Cleofe Dominguez 177;TILISARAO;-32,730875;-65,290858;2656 420397 / 2664548111
2339;La Rotonda;351-000;AGENCIA;B° Los Venados Mna G Casa 19;SAN LUIS;-33,282359;-66,305965;266-15-4374040 
2335;JUGADOS CON SUERTE;346-000;AGENCIA;Ayacucho 1098;SAN LUIS;-33,306011;-66,337887;266 154311167 
2333;EL UNICORNIO;344-000;AGENCIA;Av Viento Chorrillero 3230;Juana Koslay;-33,278494;-66,239752;266 881107
2332;La Oportunidad;343-000;AGENCIA;Leon Guillet 741;VILLA MERCEDES;-33,691579;-65,451194;2657675050
2330;La Gran Chance;340-000;AGENCIA;Montevideo 1022;VILLA MERCEDES;-33,671951;-65,473672;02657-15309887 
2325;El Loco Lindo;337-000;AGENCIA;Ruta Nacional N° 7 KM 730;FRAGA;-33,500732;-65,788610;02657 320980
2324;La Estrella;335-000;AGENCIA;Betbeder 615;VILLA MERCEDES;-33,678214;-65,478086;02657 15658060
2322;Del Cerro;333-000;AGENCIA;B 164 Viv Mna 459 C 26;SAN LUIS;-33,282424;-66,301639;0266-154650302 
2321;Palpitos;331-000;AGENCIA;General Paz 1376;VILLA MERCEDES;-33,668546;-65,458886;02657-583130 
2320;El Baldino;330-000;AGENCIA;Av. Lafinur 1062;SAN LUIS;-33,299156;-66,347674;02664223713
2319;Zona Virtual;326-000;AGENCIA;B Felix Bogado Mza Q C 13;SAN LUIS;-33,320561;-66,313108;0266 4880934 
2318;EL BOCI;325-000;AGENCIA;Moreno 450;JUSTO DARACT;-33,864328;-65,180312;02657-15529021 
2317;Los Sueños;324-000;AGENCIA;Madre Cabrini 553;VILLA MERCEDES;-33,673755;-65,450203;02657-15-308133 
2315;Del Sol;320-000;AGENCIA;B 118 Viv Mza 438 C 14;SAN LUIS;-33,278292;-66,298784;2664312108
2300;El Trebol;318-000;AGENCIA;B 131 Viviendas M 317 C 25;SAN LUIS;-33,264538;-66,300209;0266 4834100 
2288;Silbando Bajito;283-000;AGENCIA;Bº 157 viv.M 353 C 4 ;SAN LUIS;-33,268394;-66,303384;2664-836375
2286;El Trebol de la buena suerte;277-000;AGENCIA;Belgrano 1826;VILLA MERCEDES;-33,659482;-65,460710;02657-704087
2284;Garmari;271-000;AGENCIA;9 de Julio 770;SAN LUIS;-33,306455;-66,332829;0266-154303928 -2664409547
2281;Doña Gringa;264-000;AGENCIA;Balcarce 1077;SAN LUIS;-33,309639;-66,336808;266-4397859 
2266;Casa Villegas;259-000;AGENCIA;25 de Mayo 1298;SAN LUIS;-33,308848;-66,340338;2664561425 / 2664428202
2263;YPF Brio Norte SRL;251-000;AGENCIA;Peron y Ruta 8 ;VILLA MERCEDES;-33,657792;-65,444933;02657-423033 
2262;La Monumental;250-000;AGENCIA;Sarmiento 1891;SAN LUIS;-33,287044;-66,323821;0266-154686675 
2261;La Potra del Azar;248-000;AGENCIA;Torcazas y Perón 0;Juana Koslay;-33,267267;-66,232134;0266-154653616 
2259;Chayo;247-000;AGENCIA;Miguel B Pastor, 1306;VILLA MERCEDES;-33,696125;-65,439023;02657-15545430 
2258;Don Tito;246-000;AGENCIA;Ruta 9 y León Guillet S/N 0;EL TRAPICHE;-33,110139;-66,062074;0266-15790821
2254;La Verduleria;243-000;AGENCIA;Junin 699;SAN LUIS;-33,300743;-66,333561;0266-4435771 / 2665031635
2253; San Agustin;241-000;AGENCIA;Av Comechingones 150;PAPAGAYOS;-32,675387;-64,988821;02656-481859 
2247;Kiosco de Revista Amep;228-000;AGENCIA;Bo Amep Velez Sarsfield 2999;SAN LUIS;-33,272626;-66,341952;0266 154561316 
2243;El Angel de la Fortuna;224-001;SUCURSAL;Hilario Cuadros 178;VILLA MERCEDES;-33,664304;-65,464172;02657-15612126 
2241;El Angel de la Fortuna;224-000;AGENCIA;Gral Paz 1657;VILLA MERCEDES;-33,663549;-65,457398;+054 2657-611984
2224; El Ciclon;222-000;AGENCIA;25 de Mayo 399;VILLA MERCEDES;-33,684534;-65,471507;2657633853
2223;El Pati;221-000;AGENCIA;Juan W. Gez 236;VILLA MERCEDES;-33,678225;-65,469383;2657-223749 
2220;Kiosco Chiquita;215-000;AGENCIA;Pte. Peron 1563;VILLA MERCEDES;-33,667008;-65,448228;02657-318950 - 2657-290058
2219;San Cono;213-000;AGENCIA;Arenales 414;VILLA MERCEDES;-33,668646;-65,451816;2657-425732 - 2657-609121
2217;Capicua Plus;210-000;AGENCIA;Av. Los Alamos 2115;VILLA MERCEDES;-33,6558309;-65,4521834;2657-15329957 
2216;Marbel;209-000;AGENCIA;Bo Amppya Mna 13 Casa 2;SAN LUIS;-33,282921;-66,313225;266-4434940 
2214;Despensa JM;207-000;AGENCIA;Bo CGT Mna 189 Casa 1;SAN LUIS;-33,311341;-66,363789;266-4443214 
2211;Kiosco Falucho;204-000;AGENCIA;Falucho 2021;SAN LUIS;-33,286099;-66,348118;266-4444036  / 2664666818 / 2664588295
2210;El Enano;202-000;AGENCIA;Avda. España 460;SAN LUIS;-33,292379; -66,331307;266-4730225 
2199;El Duende de la Suerte;200-000;AGENCIA;HIPOLITO YRIGOYEN 829;SAN LUIS;-33,299498;-66,331207;266-154392188 
2197;La Esquina de Quiroga;198-000;AGENCIA;La Pampa 1583;SAN LUIS;-33,288059;-66,303149;2665-027553
2190;La Puntanita;190-000;AGENCIA;Av. Pte Peron 2115;SAN LUIS;-33,284126;-66,330564;2664-035035
2188;Mi Azucena;188-000;AGENCIA;Bo 116 Viv. Mna 277 Casa 14;SAN LUIS;-33,271654;-66,307895;0266-4253015 
2187;Difunta Correa;187-000;AGENCIA;Av. Pte Peron 2226;SAN LUIS;-33,282029;-66,330720;266-4430476 / 2664720022
2186; San Cono;185-000;AGENCIA;25 de Mayo 393;SAN LUIS;-33,306969;-66,328169;266-4421251 / 2664688521
2183;San Jose;182-000;AGENCIA;Bo Lince Mna 22 Casa 19;SAN LUIS;-33,316124;-66,310314;266-4565685 
2180;San Javier;179-000;AGENCIA;Viedma 2421;SAN LUIS;-33,315337;-66,356862;266-4727382
2179;Kiosco Rulo;178-000;AGENCIA;Ciudad del Rosario 591;SAN LUIS;-33,296321;-66,314904;2664652664
2177;Clemente;176-000;AGENCIA;B San Luis XXXII Mza A Casa 2;SAN LUIS;-33,278528;-66,318969;0266-4262366 
2163;5R;173-000;AGENCIA;Av Justo Daract 2370;SAN LUIS;-33,283455;-66,337612;2664-581409
2161;El Cunina;170-000;AGENCIA;Av Cordoba 450;TILISARAO;-32,734528;-65,289156;02656-422483 / 2664700002
2159;El 13;168-000;AGENCIA;Belgrano 50;LOS MOLLES;-32,438688;-65,009266;2656-477987 
2158;La Buena Fortuna;167-000;AGENCIA;Avda. Belgrano S/N;FORTUNA;-35,130147;-65,382465;2657248325
2157;La Popular;164-000;AGENCIA;Balcarce 311;VILLA MERCEDES;-33,686872;-65,467726;2657-426911- 2657-604931
2156;La Perinola;162-000;AGENCIA;Libertad 681;VILLA MERCEDES;-33,673472; -65,477995;2657-436782 
2153;La Taba;158-001;SUCURSAL;Pedernera 595;VILLA MERCEDES;-33,682033;-65,465204;2657-15 556 561 
2152;La Taba;158-000;AGENCIA;Juan Llerena 68;VILLA MERCEDES;-33,677222;-65,465221;02657-395682 - 2657-653084
2150; Sosa Laura;155-000;AGENCIA;Bo San Luis XV, Mna F,Csa 22;SAN LUIS;-33,318698;-66,335716;266-4455181 
2147;Sunamita;151-000;AGENCIA;Bo El Hornero Mza E Casa 28;SAN LUIS;-33,314223;-66,318574;2664-006971
2146;Tu Suerte;150-000;AGENCIA;Tradicion sur 193;VILLA LARCA;-32,618202;-64,981018;2664-846185
2134;Tio Beto;139-000;AGENCIA;Salta 217;VILLA MERCEDES;-33,685669;-65,461298;2657-432474 
2133;La Fija;135-000;AGENCIA;Chacabuco 840;VILLA MERCEDES;-33,670907;-65,481115;2657-549888
2132;Juegue y Gane;134-000;AGENCIA;Europa 260;VILLA MERCEDES;-33,690289;-65,456359;2657-583795
2128;San Jose;129-000;AGENCIA;San Martin 123;QUINES;-32,236391;-65,804766;0266-154-714-228 
2127;El Rinconcito de la Suerte;127-000;AGENCIA;Av. Mitre 665;VILLA MERCEDES;-33,681088;-65,463771;(2657)15320675
2125;La Fortuna;125-000;AGENCIA;Martin Guemes 1196;SAN LUIS;-33,291039;-66,343787;2664-360092 
2122; El 21;122-000;AGENCIA;25 de Mayo 934;VILLA MERCEDES;-33,674911;-65,468830;02657-15504439- 2657-544582
2120; La Esquina de la Suerte;120-000;AGENCIA;25 de Mayo 1658;VILLA MERCEDES;-33,661895;-65,464896;2657-681129
2117;Mauricio;116-000;AGENCIA;Av Julio A Roca 1910;SAN LUIS;-33,315656;-66,348522;2664-585110
2116;Bresano;115-000;AGENCIA;Mendoza 557;SAN LUIS;-33,307394;-66,348396;(266)442-4610 / 2664191265
2032;El Rey Santiago;103-000;AGENCIA;B 126 Viv Mza 398 Casa 9;SAN LUIS;-33,274917;-66,303185;2664262968
2030;Garraza;101-000;AGENCIA;25 de Mayo 948;LA TOMA;-33,051315;-65,630884;(02655) 42-1838  /   2664-172142 / 2664338085
2028;Centro;093-000;AGENCIA;Pringles 43;TILISARAO;-32,730976;-65,292985;0358-154115697 / 2664010271
1997;Mitre;072-000;AGENCIA;Mitre 887 Local 2;SAN LUIS;-33,301109;-66,341051;15 4 363038 / 2664880047
1996; La Campeona de la Suerte;069-000;AGENCIA;Presbitero Becerra 587;MERLO;-32,343135;-65,013283;0266 154306566 
1904; El Chorrillo;063-000;AGENCIA;Av. Viento Chorrillero 273;Juana Koslay;-33,296519;-66,274572;266-154626152 
1903;Arco Iris;062-000;AGENCIA;Bolivar 640;SAN LUIS;-33,296958;-66,334075; 266-4441724 
1898;La Moneda;059-000;AGENCIA;Estación de Interconexión Regional de Ómnibus · EDIRO- Local 7-;SAN LUIS;-33,295111;-66,296884;266-4694730
1893;055-001;055-001;SUCURSAL;Centenario S/N Local 4;LUJÁN;-32,367112;-65,941851;266 4302868 
1892;055-000;055-000;AGENCIA;Pringles 0;LUJÁN;-32,373272;-65,931226;02651-493202
1890;La Vaca Gorda;054-000;AGENCIA;Pringles S/N;QUINES;-32,233635;-65,804433;2664514560
1889;Sol y Luna;053-000;AGENCIA;Ernesto Sánchez Reynafe 0;CORTADERAS;-32,506877;-64,990989;0266 154 614157 
1887;El Nano;048-000;AGENCIA;Poeta Agüero 311;MERLO;-32,345692;-65,015674;0266-15-451-2321
1871;La Buena Suerte;046-000;AGENCIA;San Martín 165;NUEVA GALIA;-35,113064;-65,258864;2658-491007 / 2664779458
1865;La Herradura de la Suerte;043-000;AGENCIA;Fuerte Constitucional 231;VILLA MERCEDES;-33,683578;-65,470852;2657-670248 - 2657-206518
1861;El Duende de la Suerte;042-000;AGENCIA;San Martin 330;BUENA ESPERANZA;-34,757377;-65,254159;2657-244563 
1860;El Cura;040-000;AGENCIA;Moreno 0;SAN MARTÍN;-32,410616;-65,676234;2664-678130
1834; The King Cash;039-000;AGENCIA;Av Santamarina 219;ARIZONA;-35,722731 ;-65,321656;02658-492083 / 2625435314
1833; La Buena Onda;038-000;AGENCIA;San Martin 516;SAN LUIS;-33,305606;-66,336602;266-1546-10151
1831;Conejo de la Suerte;036-000;AGENCIA;Héroes de Malvinas 287;SAN LUIS;-33,296211; -66,327827;2664-567374 / 2664-504382
1830;El Genio de la Suerte;035-000;AGENCIA;San martin 599;SANTA ROSA DE CONLARA;-32,342554;-65,207247;2656-492111
1828;Géminis;033-000;AGENCIA;Av Sarmiento 1774;SAN LUIS;-33,287807;-66,323724;266-154213718 
1825;La Precisa;031-000;SOLO MULTICASH;Leon Guillet 156;VILLA MERCEDES;-33,688865;-65,463674;2657-549053 - 2657-691584
1824; El Azar;030-000;AGENCIA;25 de Mayo esq. Córdoba;TILISARAO;-32,732634;-65,292003;2664-738307
